row,col,r,g,b
13,19,140,119,92
14,0,183,167,142
14,1,131,128,113
14,2,180,165,146
14,3,183,171,155
14,4,155,146,129
14,5,162,155,137
14,6,131,124,108
14,7,151,142,125
14,8,153,141,127
14,9,201,190,172
14,10,197,186,168
14,11,196,181,158
14,12,199,191,170
14,13,162,151,129
14,14,181,173,154
14,15,105,105,93
14,16,203,192,174
14,17,127,124,107
14,18,118,105,88
14,19,185,170,147
